Comment;Designator;Footprint;LCSC; Manufacturer; Manufacturer No; Source; Tolerance; Voltage
SN65176B;U8,U9,U10,U11,U14,U17,U18,U15,U16,U19;stmbl:SOIC-8-N;;Texas Instruments;SN65176B;;; 
8M;Y1,Y2;stmbl:Crystal_SMD_0503_4Pads;;Abracon LLC;ABM3B-8.000MHZ-10-1UT;;https://de.aliexpress.com/item/1LOT-10PCS-Crystal-8MHZ-20PF-20PPM-4P-5032-SeriesYSX531SL/32534814045.html;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
heatsink;U33;;;alutronic;V PR138/94-M3; ; ; 
fan;U34;;;Sunon;MB45101V2-000U-A99; ; ;12V
