Reference; Quantity; Value; Footprint; Datasheet; Manufacturer; Manufacturer No; Source; Tolerance; Voltage
R164 R166 R143 R161 R29 R34 R53 R79 R115 R59 R146 R144 R149 R20 R22 R74 ;16;"3,9k";"stmbl:R_0603";"";"";"";"";"1%";""
R27 R28 R32 R33 R51 R52 R77 R78 ;8;"249k";"stmbl:R_1206";"";"";"";"";"1%";"200V"
R31 R109 R111 R114 R24 R25 R130 R110 R112 R113 R23 R26 R131 R1 ;14;"120";"stmbl:R_0603";"";"";"";"";"1%";""
R8 R46 R84 R100 R17 R18 R3 R6 R93 R95 R4 R5 R94 R96 R134 R120 R85 R83 R76 ;19;"470";"stmbl:R_0603";"";"";"";"";"1%";""
R80 R81 R82 ;3;"0,003";"Resistor_SMD:R_2816_7142Metric_Pad3,20x4,45mm_HandSolder";"";"Bourns";"CSS2H-2512K-3L00F";"";"1%";""
R92 R19 R58 R90 R107 R47 R55 R50 R56 R48 R54 R49 R57 ;13;"15k";"stmbl:R_0603";"";"";"";"";"1%";""
T45 T44 T46 T1 T2 ;5;"testpoint";"stmbl:Measurement_Point_Round-SMD-Pad_Small";""
U12 ;1;"IKCM20L60GD";"stmbl:INF-CIPOS_MINI";""
U2 ;1;"zldo1117";"stmbl:SOT-223";"";"Diodes Incorporated";"ZLDO1117G33TA";"";"";""
U21 U29 U1 U23 U20 U22 ;6;"USBLC6-4SC6";"stmbl:SOT-23-6";"";"STMicroelectronics";"USBLC6-4SC6";"";"";""
U24 U30 U31 U32 ;4;"non_plated";"stmbl:non_plated_3mm";""
U25 ;1;"STM32F303CBTx";"stmbl:LQFP-48_7x7mm_Pitch0,5mm";"";"STMicroelectronics";"STM32F303CBT";"";"";""
U26 ;1;"STM32F405VG";"stmbl:LQFP-100_14x14mm_Pitch0,5mm";"";"STMicroelectronics";"STM32F405VGT";"";"";""
U3 ;1;"SI8621";"stmbl:SOIC-8-N";"";"Silicon Labs";"Si8621BB-B-IS";" ";"";" "
U33 ;1;"heatsink";"";"";"alutronic";"V PR138/94-M3";" ";" ";" "
U34 ;1;"fan";"";"";"Sunon";"MB45101V2-000U-A99";" ";" ";"12V"
U4 U13 U28 U27 ;4;"ACT4088";"stmbl:SOT-23-6";"";"Active-Semi";"ACT4088US-T";"";"";""
U5 ;1;"LNK304D";"stmbl:SOIC-7";"";"Power Integrations";"LNK304DN";"";"";""
U6 U7 ;2;"LM358";"stmbl:SOIC-8-N";"";"Texas Instruments";"LM358AD";"";"";""
U8 U9 U10 U11 U14 U17 U18 U15 U16 U19 ;10;"SN65176B";"stmbl:SOIC-8-N";"";"Texas Instruments";"SN65176B";"";"";""
Y1 Y2 ;2;"8M";"stmbl:Crystal_SMD_0503_4Pads";"";"Abracon LLC";"ABM3B-8,000MHZ-10-1UT";"https://de,aliexpress,com/item/1LOT-10PCS-Crystal-8MHZ-20PF-20PPM-4P-5032-SeriesYSX531SL/32534814045,html";"";""
